wavenumber,absorbance
3551.76224,0.10651
3550.79788,0.10702
3549.83351,0.10804
3548.86914,0.10909
3547.90478,0.10965
3546.94041,0.10994
3545.97604,0.11037
3545.01168,0.11093
3544.04731,0.11148
3543.08294,0.11208
3542.11858,0.11276
3541.15421,0.11338
3540.18984,0.11385
3539.22548,0.11443
3538.26111,0.11524
3537.29674,0.11602
3536.33238,0.1165
3535.36801,0.11691
3534.40364,0.11761
3533.43928,0.11847
3532.47491,0.11909
3531.51054,0.11944
3530.54618,0.11983
3529.58181,0.12042
3528.61744,0.12103
3527.65308,0.12154
3526.68871,0.12206
3525.72434,0.12285
3524.75998,0.1238
3523.79561,0.12452
3522.83124,0.12486
3521.86688,0.12514
3520.90251,0.12568
3519.93814,0.12638
3518.97378,0.12701
3518.00941,0.12746
3517.04504,0.12778
3516.08068,0.12825
3515.11631,0.12902
3514.15194,0.12983
3513.18758,0.13024
3512.22321,0.13035
3511.25884,0.13061
3510.29448,0.13106
3509.33011,0.13145
3508.36574,0.13184
3507.40138,0.13242
3506.43701,0.13304
3505.47264,0.13356
3504.50828,0.13409
3503.54391,0.13461
3502.57955,0.1349
3501.61518,0.13506
3500.65081,0.1354
3499.68645,0.13596
3498.72208,0.13662
3497.75771,0.13729
3496.79335,0.13782
3495.82898,0.13816
3494.86461,0.13843
3493.90025,0.13876
3492.93588,0.13909
3491.97151,0.13936
3491.00715,0.13965
3490.04278,0.13995
3489.07841,0.14017
3488.11405,0.14046
3487.14968,0.14099
3486.18531,0.14156
3485.22095,0.14195
3484.25658,0.14223
3483.29221,0.14249
3482.32785,0.14273
3481.36348,0.143
3480.39911,0.14335
3479.43475,0.14366
3478.47038,0.14393
3477.50601,0.14431
3476.54165,0.14477
3475.57728,0.14514
3474.61291,0.14537
3473.64855,0.14553
3472.68418,0.1458
3471.71981,0.14628
3470.75545,0.14684
3469.79108,0.14727
3468.82671,0.14754
3467.86235,0.14769
3466.89798,0.14775
3465.93361,0.14787
3464.96925,0.14814
3464.00488,0.1484
3463.04051,0.14853
3462.07615,0.1487
3461.11178,0.14906
3460.14741,0.14948
3459.18305,0.1498
3458.21868,0.15003
3457.25431,0.15022
3456.28995,0.15036
3455.32558,0.15054
3454.36121,0.15084
3453.39685,0.15119
3452.43248,0.15148
3451.46811,0.15172
3450.50375,0.15198
3449.53938,0.15219
3448.57501,0.15224
3447.61065,0.15211
3446.64628,0.15205
3445.68191,0.15233
3444.71755,0.15286
3443.75318,0.15331
3442.78881,0.15347
3441.82445,0.15342
3440.86008,0.15345
3439.89572,0.15375
3438.93135,0.15431
3437.96698,0.15483
3437.00262,0.15505
3436.03825,0.15504
3435.07388,0.15502
3434.10952,0.1551
3433.14515,0.15523
3432.18078,0.15547
3431.21642,0.15584
3430.25205,0.1561
3429.28768,0.15612
3428.32332,0.15609
3427.35895,0.15622
3426.39458,0.15645
3425.43022,0.15666
3424.46585,0.15674
3423.50148,0.15666
3422.53712,0.15673
3421.57275,0.15715
3420.60838,0.15761
3419.64402,0.15768
3418.67965,0.15755
3417.71528,0.15759
3416.75092,0.15776
3415.78655,0.15793
3414.82218,0.15824
3413.85782,0.15868
3412.89345,0.15889
3411.92908,0.15884
3410.96472,0.15893
3410.00035,0.15915
3409.03598,0.15916
3408.07162,0.15894
3407.10725,0.15886
3406.14288,0.15909
3405.17852,0.15949
3404.21415,0.15985
3403.24978,0.16005
3402.28542,0.1602
3401.32105,0.16037
3400.35668,0.16053
3399.39232,0.1606
3398.42795,0.16061
3397.46358,0.16054
3396.49922,0.16044
3395.53485,0.16045
3394.57048,0.16071
3393.60612,0.16108
3392.64175,0.16132
3391.67738,0.1614
3390.71302,0.16141
3389.74865,0.16139
3388.78428,0.16133
3387.81992,0.16126
3386.85555,0.16127
3385.89118,0.16131
3384.92682,0.16135
3383.96245,0.16149
3382.99808,0.16181
3382.03372,0.16213
3381.06935,0.16216
3380.10498,0.16195
3379.14062,0.16188
3378.17625,0.16217
3377.21189,0.16255
3376.24752,0.16265
3375.28315,0.16255
3374.31879,0.16252
3373.35442,0.16266
3372.39005,0.16293
3371.42569,0.16327
3370.46132,0.16354
3369.49695,0.16359
3368.53259,0.16352
3367.56822,0.16354
3366.60385,0.16368
3365.63949,0.16373
3364.67512,0.16357
3363.71075,0.16334
3362.74639,0.16327
3361.78202,0.16347
3360.81765,0.16368
3359.85329,0.16368
3358.88892,0.16355
3357.92455,0.16357
3356.96019,0.16371
3355.99582,0.16377
3355.03145,0.1637
3354.06709,0.16367
3353.10272,0.16386
3352.13835,0.16427
3351.17399,0.16464
3350.20962,0.16469
3349.24525,0.16448
3348.28089,0.16429
3347.31652,0.16421
3346.35215,0.16416
3345.38779,0.16424
3344.42342,0.16461
3343.45905,0.16505
3342.49469,0.16517
3341.53032,0.16502
3340.56595,0.16498
3339.60159,0.16519
3338.63722,0.16535
3337.67285,0.16529
3336.70849,0.16515
3335.74412,0.16509
3334.77975,0.16512
3333.81539,0.16522
3332.85102,0.16535
3331.88665,0.16534
3330.92229,0.16517
3329.95792,0.16501
3328.99355,0.16498
3328.02919,0.16515
3327.06482,0.16552
3326.10045,0.1659
3325.13609,0.16604
3324.17172,0.1659
3323.20735,0.1657
3322.24299,0.16567
3321.27862,0.16583
3320.31425,0.16598
3319.34989,0.16597
3318.38552,0.16587
3317.42115,0.16585
3316.45679,0.16588
3315.49242,0.16584
3314.52806,0.16586
3313.56369,0.16614
3312.59932,0.1665
3311.63496,0.16669
3310.67059,0.16681
3309.70622,0.16709
3308.74186,0.16744
3307.77749,0.16763
3306.81312,0.1676
3305.84876,0.1675
3304.88439,0.16741
3303.92002,0.16728
3302.95566,0.16709
3301.99129,0.16696
3301.02692,0.16698
3300.06256,0.16712
3299.09819,0.16727
3298.13382,0.16736
3297.16946,0.16742
3296.20509,0.16756
3295.24072,0.16777
3294.27636,0.16794
3293.31199,0.16808
3292.34762,0.16825
3291.38326,0.1683
3290.41889,0.16807
3289.45452,0.16774
3288.49016,0.16757
3287.52579,0.16756
3286.56142,0.16756
3285.59706,0.16764
3284.63269,0.16785
3283.66832,0.16811
3282.70396,0.16832
3281.73959,0.16845
3280.77522,0.16843
3279.81086,0.16822
3278.84649,0.16807
3277.88212,0.16827
3276.91776,0.16882
3275.95339,0.16934
3274.98902,0.16951
3274.02466,0.16943
3273.06029,0.16935
3272.09592,0.16941
3271.13156,0.16954
3270.16719,0.16959
3269.20282,0.16953
3268.23846,0.16946
3267.27409,0.16954
3266.30972,0.1697
3265.34536,0.16978
3264.38099,0.16972
3263.41662,0.16959
3262.45226,0.16949
3261.48789,0.16949
3260.52352,0.16968
3259.55916,0.17003
3258.59479,0.17033
3257.63042,0.17045
3256.66606,0.17047
3255.70169,0.17052
3254.73733,0.17057
3253.77296,0.17063
3252.80859,0.17069
3251.84423,0.17071
3250.87986,0.17066
3249.91549,0.17063
3248.95113,0.17074
3247.98676,0.17098
3247.02239,0.17119
3246.05803,0.17129
3245.09366,0.17131
3244.12929,0.17133
3243.16493,0.17131
3242.20056,0.17128
3241.23619,0.17133
3240.27183,0.17143
3239.30746,0.17146
3238.34309,0.17144
3237.37873,0.1715
3236.41436,0.17173
3235.44999,0.17211
3234.48563,0.17243
3233.52126,0.17243
3232.55689,0.17213
3231.59253,0.17189
3230.62816,0.17192
3229.66379,0.17208
3228.69943,0.17216
3227.73506,0.17211
3226.77069,0.17205
3225.80633,0.17207
3224.84196,0.17217
3223.87759,0.17224
3222.91323,0.17224
3221.94886,0.17222
3220.98449,0.17223
3220.02013,0.1723
3219.05576,0.17239
3218.09139,0.17243
3217.12703,0.17236
3216.16266,0.17221
3215.19829,0.17218
3214.23393,0.17238
3213.26956,0.17266
3212.30519,0.17277
3211.34083,0.17262
3210.37646,0.17238
3209.41209,0.17229
3208.44773,0.17244
3207.48336,0.17269
3206.51899,0.17282
3205.55463,0.17269
3204.59026,0.17243
3203.62589,0.17227
3202.66153,0.17223
3201.69716,0.17221
3200.73279,0.17215
3199.76843,0.17219
3198.80406,0.17241
3197.83969,0.17265
3196.87533,0.17273
3195.91096,0.17264
3194.94659,0.17251
3193.98223,0.17241
3193.01786,0.17234
3192.0535,0.17233
3191.08913,0.17232
3190.12476,0.17226
3189.1604,0.17213
3188.19603,0.17203
3187.23166,0.17196
3186.2673,0.17183
3185.30293,0.17159
3184.33856,0.17138
3183.3742,0.17134
3182.40983,0.17145
3181.44546,0.17164
3180.4811,0.17181
3179.51673,0.17177
3178.55236,0.17153
3177.588,0.1714
3176.62363,0.1716
3175.65926,0.17187
3174.6949,0.17189
3173.73053,0.17168
3172.76616,0.17144
3171.8018,0.17129
3170.83743,0.17125
3169.87306,0.17123
3168.9087,0.17111
3167.94433,0.17094
3166.97996,0.17089
3166.0156,0.17091
3165.05123,0.17076
3164.08686,0.17041
3163.1225,0.1701
3162.15813,0.17
3161.19376,0.17009
3160.2294,0.17026
3159.26503,0.17038
3158.30066,0.17042
3157.3363,0.17032
3156.37193,0.17013
3155.40756,0.16999
3154.4432,0.17
3153.47883,0.17001
3152.51446,0.1698
3151.5501,0.16944
3150.58573,0.16909
3149.62136,0.16883
3148.657,0.16865
3147.69263,0.16855
3146.72826,0.16856
3145.7639,0.16867
3144.79953,0.16875
3143.83516,0.16865
3142.8708,0.16842
3141.90643,0.16819
3140.94206,0.16801
3139.9777,0.16788
3139.01333,0.1678
3138.04896,0.16767
3137.0846,0.16742
3136.12023,0.1671
3135.15586,0.16683
3134.1915,0.16665
3133.22713,0.16651
3132.26276,0.16651
3131.2984,0.16661
3130.33403,0.16655
3129.36967,0.16621
3128.4053,0.16583
3127.44093,0.16564
3126.47657,0.16562
3125.5122,0.16555
3124.54783,0.1653
3123.58347,0.16501
3122.6191,0.16492
3121.65473,0.16507
3120.69037,0.16519
3119.726,0.16513
3118.76163,0.16494
3117.79727,0.16469
3116.8329,0.16439
3115.86853,0.16404
3114.90417,0.16368
3113.9398,0.16336
3112.97543,0.16314
3112.01107,0.16305
3111.0467,0.16303
3110.08233,0.16297
3109.11797,0.16279
3108.1536,0.16251
3107.18923,0.16219
3106.22487,0.16193
3105.2605,0.16175
3104.29613,0.16157
3103.33177,0.1613
3102.3674,0.16104
3101.40303,0.16096
3100.43867,0.16097
3099.4743,0.16081
3098.50993,0.16047
3097.54557,0.16009
3096.5812,0.15971
3095.61683,0.15936
3094.65247,0.15914
3093.6881,0.15907
3092.72373,0.15902
3091.75937,0.15886
3090.795,0.15864
3089.83063,0.15845
3088.86627,0.15832
3087.9019,0.15818
3086.93753,0.15798
3085.97317,0.1578
3085.0088,0.15772
3084.04443,0.1576
3083.08007,0.15733
3082.1157,0.15706
3081.15133,0.15697
3080.18697,0.15693
3079.2226,0.15673
3078.25823,0.15644
3077.29387,0.1562
3076.3295,0.15591
3075.36513,0.15541
3074.40077,0.15486
3073.4364,0.15452
3072.47203,0.15434
3071.50767,0.15411
3070.5433,0.15381
3069.57893,0.15362
3068.61457,0.15359
3067.6502,0.15357
3066.68584,0.15341
3065.72147,0.15306
3064.7571,0.15258
3063.79274,0.15204
3062.82837,0.15159
3061.864,0.1514
3060.89964,0.15141
3059.93527,0.15128
3058.9709,0.15086
3058.00654,0.1504
3057.04217,0.15017
3056.0778,0.15014
3055.11344,0.15006
3054.14907,0.14978
3053.1847,0.14944
3052.22034,0.1492
3051.25597,0.14901
3050.2916,0.14866
3049.32724,0.14823
3048.36287,0.14797
3047.3985,0.14787
3046.43414,0.1477
3045.46977,0.14739
3044.5054,0.14712
3043.54104,0.14699
3042.57667,0.14692
3041.6123,0.14679
3040.64794,0.14646
3039.68357,0.14586
3038.7192,0.14517
3037.75484,0.1448
3036.79047,0.14486
3035.8261,0.14501
3034.86174,0.14491
3033.89737,0.14457
3032.933,0.14413
3031.96864,0.14367
3031.00427,0.1432
3030.0399,0.14273
3029.07554,0.14233
3028.11117,0.14208
3027.1468,0.14198
3026.18244,0.14189
3025.21807,0.14167
3024.2537,0.14126
3023.28934,0.14085
3022.32497,0.14061
3021.3606,0.14046
3020.39624,0.14025
3019.43187,0.14
3018.4675,0.13987
3017.50314,0.1398
3016.53877,0.13959
3015.5744,0.13923
3014.61004,0.13892
3013.64567,0.13868
3012.6813,0.13836
3011.71694,0.13793
3010.75257,0.13751
3009.7882,0.13712
3008.82384,0.13675
3007.85947,0.13647
3006.89511,0.13632
3005.93074,0.13618
3004.96637,0.13594
3004.00201,0.13556
3003.03764,0.13509
3002.07327,0.13463
3001.10891,0.1343
3000.14454,0.13415
2999.18017,0.13411
2998.21581,0.13398
2997.25144,0.13359
2996.28707,0.13307
2995.32271,0.13271
2994.35834,0.13262
2993.39397,0.13265
2992.42961,0.13248
2991.46524,0.13201
2990.50087,0.13146
2989.53651,0.13103
2988.57214,0.13071
2987.60777,0.1304
2986.64341,0.13012
2985.67904,0.12988
2984.71467,0.12966
2983.75031,0.12945
2982.78594,0.12927
2981.82157,0.12913
2980.85721,0.12899
2979.89284,0.12884
2978.92847,0.12862
2977.96411,0.12831
2976.99974,0.12799
2976.03537,0.12777
2975.07101,0.1276
2974.10664,0.12734
2973.14227,0.12698
2972.17791,0.12668
2971.21354,0.12648
2970.24917,0.12624
2969.28481,0.12589
2968.32044,0.12559
2967.35607,0.12554
2966.39171,0.1256
2965.42734,0.12554
2964.46297,0.12532
2963.49861,0.12505
2962.53424,0.12476
2961.56987,0.12447
2960.60551,0.12428
2959.64114,0.1242
2958.67677,0.12415
2957.71241,0.12405
2956.74804,0.12392
2955.78367,0.12375
2954.81931,0.12354
2953.85494,0.12333
2952.89057,0.12312
2951.92621,0.12293
2950.96184,0.12281
2949.99747,0.12273
2949.03311,0.12259
2948.06874,0.12238
2947.10437,0.12223
2946.14001,0.12221
2945.17564,0.1222
2944.21128,0.1221
2943.24691,0.12189
2942.28254,0.12161
2941.31818,0.12132
2940.35381,0.12115
2939.38944,0.1211
2938.42508,0.12104
2937.46071,0.12088
2936.49634,0.12067
2935.53198,0.12047
2934.56761,0.12033
2933.60324,0.1203
2932.63888,0.12033
2931.67451,0.12033
2930.71014,0.12029
2929.74578,0.12026
2928.78141,0.12022
2927.81704,0.12009
2926.85268,0.1199
2925.88831,0.11974
2924.92394,0.11963
2923.95958,0.11961
2922.99521,0.11965
2922.03084,0.11965
2921.06648,0.11956
2920.10211,0.11944
2919.13774,0.11935
2918.17338,0.11923
2917.20901,0.11899
2916.24464,0.11873
2915.28028,0.11859
2914.31591,0.11854
2913.35154,0.11842
2912.38718,0.11815
2911.42281,0.11782
2910.45844,0.11752
2909.49408,0.11729
2908.52971,0.11707
2907.56534,0.11684
2906.60098,0.11663
2905.63661,0.11643
