,Feature_1,Feature_2,Feature_Pair,Value,Metric
1032,$(\frac{ΣS}{S_{1720}})_{n}$,$(\frac{S_{1619}}{I_{1720}})_{n}$,[$(\frac{ΣS}{S_{1720}})_{n}$; $(\frac{S_{1619}}{I_{1720}})_{n}$],0.8156928101478708,V_measure
1224,$(\frac{I_{1619}}{S_{1720}})_{n}$,$(\frac{S_{1619}}{I_{1720}})_{n}$,[$(\frac{I_{1619}}{S_{1720}})_{n}$; $(\frac{S_{1619}}{I_{1720}})_{n}$],0.8156928101478708,V_measure
1288,$(\frac{S_{1619}}{I_{1720}})_{n}$,$(\frac{I_{1720}}{S_{1720}})_{n}$,[$(\frac{S_{1619}}{I_{1720}})_{n}$; $(\frac{I_{1720}}{S_{1720}})_{n}$],0.8156928101478708,V_measure
1334,$(\frac{S_{1619}}{I_{1720}})_{n}$,$(S_{1720}^{-1})_{n}$,[$(\frac{S_{1619}}{I_{1720}})_{n}$; $(S_{1720}^{-1})_{n}$],0.8156928101478708,V_measure
1336,$(\frac{S_{1619}}{I_{1720}})_{n}$,$(S_{1720}^{-2})_{n}$,[$(\frac{S_{1619}}{I_{1720}})_{n}$; $(S_{1720}^{-2})_{n}$],0.8156928101478708,V_measure
1338,$(\frac{S_{1619}}{I_{1720}})_{n}$,$(S_{1720}^{-3})_{n}$,[$(\frac{S_{1619}}{I_{1720}})_{n}$; $(S_{1720}^{-3})_{n}$],0.8156928101478708,V_measure
1340,$(\frac{S_{1619}}{I_{1720}})_{n}$,$(S_{1720}^{-4})_{n}$,[$(\frac{S_{1619}}{I_{1720}})_{n}$; $(S_{1720}^{-4})_{n}$],0.8156928101478708,V_measure
1342,$(\frac{S_{1619}}{I_{1720}})_{n}$,$(S_{1720}^{-5})_{n}$,[$(\frac{S_{1619}}{I_{1720}})_{n}$; $(S_{1720}^{-5})_{n}$],0.8156928101478708,V_measure
1346,$(\frac{S_{1619}}{I_{1720}})_{n}$,$(ln|S_{1619}|)_{n}$,[$(\frac{S_{1619}}{I_{1720}})_{n}$; $(ln|S_{1619}|)_{n}$],0.8104803410230821,V_measure
1129,$(\frac{I_{1619}}{S_{1619}})_{n}$,$(S_{1619}^{-2})_{n}$,[$(\frac{I_{1619}}{S_{1619}})_{n}$; $(S_{1619}^{-2})_{n}$],0.8024932734239392,V_measure
612,$(\frac{ΣI}{S_{1619}})_{n}$,$(\frac{ΣI}{I_{1720}})_{n}$,[$(\frac{ΣI}{S_{1619}})_{n}$; $(\frac{ΣI}{I_{1720}})_{n}$],0.7980403342072969,V_measure
666,$(\frac{ΣI}{S_{1619}})_{n}$,$(I_{1720}^{-4})_{n}$,[$(\frac{ΣI}{S_{1619}})_{n}$; $(I_{1720}^{-4})_{n}$],0.7980403342072969,V_measure
668,$(\frac{ΣI}{S_{1619}})_{n}$,$(I_{1720}^{-5})_{n}$,[$(\frac{ΣI}{S_{1619}})_{n}$; $(I_{1720}^{-5})_{n}$],0.7980403342072969,V_measure
283,"$S_{1619, n}$",$(S_{1619}^{-2})_{n}$,"[$S_{1619, n}$; $(S_{1619}^{-2})_{n}$]",0.7931006878866945,V_measure
2722,$(S_{1619}^{-1})_{n}$,$(I_{1720}^{-2})_{n}$,[$(S_{1619}^{-1})_{n}$; $(I_{1720}^{-2})_{n}$],0.7908851402170564,V_measure
1095,$(\frac{I_{1619}}{S_{1619}})_{n}$,$(\frac{I_{1619}}{I_{1720}})_{n}$,[$(\frac{I_{1619}}{S_{1619}})_{n}$; $(\frac{I_{1619}}{I_{1720}})_{n}$],0.7856468950962587,V_measure
896,$(\frac{ΣS}{S_{1619}})_{n}$,$(\frac{I_{1619}}{S_{1619}})_{n}$,[$(\frac{ΣS}{S_{1619}})_{n}$; $(\frac{I_{1619}}{S_{1619}})_{n}$],0.7855490130619286,V_measure
1157,$(\frac{I_{1619}}{S_{1619}})_{n}$,$(ln|S_{1619}|)_{n}$,[$(\frac{I_{1619}}{S_{1619}})_{n}$; $(ln|S_{1619}|)_{n}$],0.7855490130619286,V_measure
681,$(\frac{ΣI}{S_{1619}})_{n}$,$(ln|S_{1619}|)_{n}$,[$(\frac{ΣI}{S_{1619}})_{n}$; $(ln|S_{1619}|)_{n}$],0.7846705789390922,V_measure
692,$(\frac{ΣI}{I_{1720}})_{n}$,$(\frac{S_{1619}}{I_{1720}})_{n}$,[$(\frac{ΣI}{I_{1720}})_{n}$; $(\frac{S_{1619}}{I_{1720}})_{n}$],0.7821877755445905,V_measure
2724,$(S_{1619}^{-1})_{n}$,$(I_{1720}^{-3})_{n}$,[$(S_{1619}^{-1})_{n}$; $(I_{1720}^{-3})_{n}$],0.7796080437961348,V_measure
2726,$(S_{1619}^{-1})_{n}$,$(I_{1720}^{-4})_{n}$,[$(S_{1619}^{-1})_{n}$; $(I_{1720}^{-4})_{n}$],0.7796080437961348,V_measure
