wavenumber,absorbance
3398.42795,0.14466
3397.46358,0.14462
3396.49922,0.14472
3395.53485,0.14496
3394.57048,0.14519
3393.60612,0.14532
3392.64175,0.14537
3391.67738,0.14537
3390.71302,0.14524
3389.74865,0.14503
3388.78428,0.14501
3387.81992,0.14513
3386.85555,0.14513
3385.89118,0.14505
3384.92682,0.14513
3383.96245,0.14535
3382.99808,0.14544
3382.03372,0.14539
3381.06935,0.14537
3380.10498,0.14548
3379.14062,0.14568
3378.17625,0.14585
3377.21189,0.14588
3376.24752,0.14574
3375.28315,0.14557
3374.31879,0.14561
3373.35442,0.14589
3372.39005,0.14618
3371.42569,0.14627
3370.46132,0.14615
3369.49695,0.14599
3368.53259,0.14586
3367.56822,0.14584
3366.60385,0.1459
3365.63949,0.14593
3364.67512,0.14582
3363.71075,0.14562
3362.74639,0.14555
3361.78202,0.14569
3360.81765,0.14581
3359.85329,0.14575
3358.88892,0.14561
3357.92455,0.14554
3356.96019,0.14548
3355.99582,0.1454
3355.03145,0.14531
3354.06709,0.14525
3353.10272,0.14535
3352.13835,0.14564
3351.17399,0.14591
3350.20962,0.14586
3349.24525,0.14557
3348.28089,0.14531
3347.31652,0.1452
3346.35215,0.14522
3345.38779,0.14525
3344.42342,0.1453
3343.45905,0.14536
3342.49469,0.1453
3341.53032,0.14516
3340.56595,0.14516
3339.60159,0.14536
3338.63722,0.14552
3337.67285,0.14547
3336.70849,0.14533
3335.74412,0.14522
3334.77975,0.14517
3333.81539,0.1452
3332.85102,0.14522
3331.88665,0.14511
3330.92229,0.14492
3329.95792,0.14477
3328.99355,0.14474
3328.02919,0.14489
3327.06482,0.14519
3326.10045,0.14538
3325.13609,0.14529
3324.17172,0.14501
3323.20735,0.14468
3322.24299,0.14443
3321.27862,0.14439
3320.31425,0.14448
3319.34989,0.14447
3318.38552,0.14433
3317.42115,0.14427
3316.45679,0.14447
3315.49242,0.14476
3314.52806,0.1448
3313.56369,0.14451
3312.59932,0.14419
3311.63496,0.14413
3310.67059,0.14434
3309.70622,0.1446
3308.74186,0.14477
3307.77749,0.14487
3306.81312,0.14498
3305.84876,0.14504
3304.88439,0.14492
3303.92002,0.14459
3302.95566,0.14413
3301.99129,0.14376
3301.02692,0.14363
3300.06256,0.1437
3299.09819,0.14384
3298.13382,0.14395
3297.16946,0.14408
3296.20509,0.14428
3295.24072,0.14448
3294.27636,0.14451
3293.31199,0.14436
3292.34762,0.14415
3291.38326,0.14391
3290.41889,0.14359
3289.45452,0.14331
3288.49016,0.14316
3287.52579,0.14317
3286.56142,0.14329
3285.59706,0.14344
3284.63269,0.14355
3283.66832,0.14354
3282.70396,0.14339
3281.73959,0.14312
3280.77522,0.14291
3279.81086,0.14288
3278.84649,0.14298
3277.88212,0.14312
3276.91776,0.14326
3275.95339,0.14331
3274.98902,0.14311
3274.02466,0.14272
3273.06029,0.14249
3272.09592,0.14257
3271.13156,0.14281
3270.16719,0.14294
3269.20282,0.14284
3268.23846,0.14256
3267.27409,0.1423
3266.30972,0.14224
3265.34536,0.1423
3264.38099,0.14231
3263.41662,0.14225
3262.45226,0.14209
3261.48789,0.14187
3260.52352,0.14175
3259.55916,0.14182
3258.59479,0.14189
3257.63042,0.1418
3256.66606,0.1417
3255.70169,0.14167
3254.73733,0.14157
3253.77296,0.1414
3252.80859,0.14133
3251.84423,0.1414
3250.87986,0.14146
3249.91549,0.14149
3248.95113,0.14157
3247.98676,0.14166
3247.02239,0.14154
3246.05803,0.14114
3245.09366,0.14073
3244.12929,0.14067
3243.16493,0.14086
3242.20056,0.14096
3241.23619,0.14082
3240.27183,0.14052
3239.30746,0.14031
3238.34309,0.14037
3237.37873,0.14062
3236.41436,0.14078
3235.44999,0.14075
3234.48563,0.1406
3233.52126,0.14039
3232.55689,0.14021
3231.59253,0.14011
3230.62816,0.14005
3229.66379,0.14003
3228.69943,0.14012
3227.73506,0.14022
3226.77069,0.14013
3225.80633,0.13989
3224.84196,0.13966
3223.87759,0.13941
3222.91323,0.13911
3221.94886,0.13896
3220.98449,0.13907
3220.02013,0.13918
3219.05576,0.13899
3218.09139,0.13855
3217.12703,0.1382
3216.16266,0.13815
3215.19829,0.13821
3214.23393,0.13811
3213.26956,0.13787
3212.30519,0.13773
3211.34083,0.13773
3210.37646,0.13766
3209.41209,0.13746
3208.44773,0.13734
3207.48336,0.13732
3206.51899,0.13724
3205.55463,0.1371
3204.59026,0.13708
3203.62589,0.13717
3202.66153,0.13724
3201.69716,0.13721
3200.73279,0.137
3199.76843,0.13663
3198.80406,0.13628
3197.83969,0.13611
3196.87533,0.13596
3195.91096,0.13564
3194.94659,0.13524
3193.98223,0.13496
3193.01786,0.13484
3192.0535,0.13479
3191.08913,0.13474
3190.12476,0.13469
3189.1604,0.13466
3188.19603,0.13458
3187.23166,0.13445
3186.2673,0.13441
3185.30293,0.13443
3184.33856,0.13436
3183.3742,0.13416
3182.40983,0.13391
3181.44546,0.13359
3180.4811,0.13315
3179.51673,0.13275
3178.55236,0.13255
3177.588,0.13251
3176.62363,0.13241
3175.65926,0.13223
3174.6949,0.13211
3173.73053,0.13204
3172.76616,0.13183
3171.8018,0.13151
3170.83743,0.13131
3169.87306,0.13132
3168.9087,0.13136
3167.94433,0.13126
3166.97996,0.13096
3166.0156,0.13054
3165.05123,0.1302
3164.08686,0.13003
3163.1225,0.1299
3162.15813,0.12962
3161.19376,0.12918
3160.2294,0.12878
3159.26503,0.12856
3158.30066,0.12851
3157.3363,0.12844
3156.37193,0.12829
3155.40756,0.12816
3154.4432,0.12812
3153.47883,0.12808
3152.51446,0.12795
3151.5501,0.12773
3150.58573,0.1274
3149.62136,0.12697
3148.657,0.12662
3147.69263,0.12645
3146.72826,0.12621
3145.7639,0.12583
3144.79953,0.12557
3143.83516,0.12554
3142.8708,0.12542
3141.90643,0.12516
3140.94206,0.12497
3139.9777,0.12489
3139.01333,0.12481
3138.04896,0.12465
3137.0846,0.12437
3136.12023,0.12391
3135.15586,0.12342
3134.1915,0.12314
3133.22713,0.12307
3132.26276,0.12296
3131.2984,0.12267
3130.33403,0.12234
3129.36967,0.12218
3128.4053,0.12212
3127.44093,0.12191
3126.47657,0.12145
3125.5122,0.12102
3124.54783,0.12086
3123.58347,0.12084
3122.6191,0.12064
3121.65473,0.12028
3120.69037,0.11996
3119.726,0.11968
3118.76163,0.11938
3117.79727,0.11912
3116.8329,0.11896
3115.86853,0.11881
3114.90417,0.11859
3113.9398,0.11827
3112.97543,0.11789
3112.01107,0.11755
3111.0467,0.11739
3110.08233,0.11732
3109.11797,0.11715
3108.1536,0.11686
3107.18923,0.1166
3106.22487,0.11642
3105.2605,0.11615
3104.29613,0.11576
3103.33177,0.11544
3102.3674,0.11528
3101.40303,0.11505
3100.43867,0.11459
3099.4743,0.1141
3098.50993,0.11386
3097.54557,0.11386
3096.5812,0.11387
3095.61683,0.11371
3094.65247,0.11339
3093.6881,0.11299
3092.72373,0.1126
3091.75937,0.11233
3090.795,0.11214
3089.83063,0.11184
3088.86627,0.11143
3087.9019,0.11112
3086.93753,0.11097
3085.97317,0.11089
3085.0088,0.11079
3084.04443,0.11057
3083.08007,0.11012
3082.1157,0.10959
3081.15133,0.10921
3080.18697,0.10901
3079.2226,0.10893
3078.25823,0.10888
3077.29387,0.10868
3076.3295,0.10833
3075.36513,0.10805
3074.40077,0.1079
3073.4364,0.10766
3072.47203,0.10725
3071.50767,0.10684
3070.5433,0.1066
3069.57893,0.10645
3068.61457,0.10626
3067.6502,0.10598
3066.68584,0.1057
3065.72147,0.10542
3064.7571,0.10508
3063.79274,0.10473
3062.82837,0.10445
3061.864,0.10416
3060.89964,0.10382
3059.93527,0.10356
3058.9709,0.10342
3058.00654,0.10327
3057.04217,0.10302
3056.0778,0.10263
3055.11344,0.10213
3054.14907,0.10168
3053.1847,0.10148
3052.22034,0.10143
3051.25597,0.10122
3050.2916,0.10077
3049.32724,0.10036
3048.36287,0.1001
3047.3985,0.09985
3046.43414,0.09954
3045.46977,0.09928
3044.5054,0.09906
3043.54104,0.09879
3042.57667,0.0984
3041.6123,0.09795
3040.64794,0.09756
3039.68357,0.09723
3038.7192,0.09687
3037.75484,0.0965
3036.79047,0.09626
3035.8261,0.09609
3034.86174,0.09578
3033.89737,0.09534
3032.933,0.09489
3031.96864,0.09448
3031.00427,0.09407
3030.0399,0.09374
3029.07554,0.0935
3028.11117,0.09318
3027.1468,0.09273
3026.18244,0.09231
3025.21807,0.09204
3024.2537,0.09182
3023.28934,0.09152
3022.32497,0.0911
3021.3606,0.09061
3020.39624,0.09017
3019.43187,0.08984
3018.4675,0.08954
3017.50314,0.08913
3016.53877,0.08858
3015.5744,0.08801
3014.61004,0.08752
3013.64567,0.08716
3012.6813,0.0869
3011.71694,0.08665
3010.75257,0.08634
3009.7882,0.08589
3008.82384,0.0853
3007.85947,0.08463
3006.89511,0.08406
3005.93074,0.08365
3004.96637,0.08329
3004.00201,0.08288
3003.03764,0.08247
3002.07327,0.0821
3001.10891,0.08172
3000.14454,0.08126
2999.18017,0.08075
2998.21581,0.08026
2997.25144,0.0798
2996.28707,0.07941
2995.32271,0.07913
2994.35834,0.07893
2993.39397,0.07872
2992.42961,0.07828
2991.46524,0.0774
2990.50087,0.07628
2989.53651,0.07553
2988.57214,0.07543
2987.60777,0.07554
2986.64341,0.07548
2985.67904,0.07533
2984.71467,0.07532
2983.75031,0.07535
2982.78594,0.07515
2981.82157,0.0747
2980.85721,0.07426
2979.89284,0.07397
2978.92847,0.07377
2977.96411,0.07355
2976.99974,0.07334
2976.03537,0.07313
2975.07101,0.07289
2974.10664,0.07261
2973.14227,0.07231
2972.17791,0.07198
2971.21354,0.07172
2970.24917,0.07163
2969.28481,0.07167
2968.32044,0.07171
2967.35607,0.07167
2966.39171,0.07152
2965.42734,0.07134
2964.46297,0.07129
2963.49861,0.07139
2962.53424,0.07148
2961.56987,0.0714
2960.60551,0.07119
2959.64114,0.071
2958.67677,0.07089
2957.71241,0.07083
2956.74804,0.07082
2955.78367,0.07086
2954.81931,0.07082
2953.85494,0.07064
2952.89057,0.0704
2951.92621,0.07024
2950.96184,0.07016
2949.99747,0.07012
2949.03311,0.07008
2948.06874,0.07
2947.10437,0.06982
2946.14001,0.06957
2945.17564,0.06939
2944.21128,0.06929
2943.24691,0.06913
2942.28254,0.06891
2941.31818,0.06878
2940.35381,0.06877
2939.38944,0.06874
2938.42508,0.0686
2937.46071,0.0684
2936.49634,0.06827
2935.53198,0.06826
2934.56761,0.06829
2933.60324,0.06819
2932.63888,0.06796
2931.67451,0.06775
2930.71014,0.06756
2929.74578,0.06732
2928.78141,0.06714
2927.81704,0.06709
2926.85268,0.06708
2925.88831,0.06703
2924.92394,0.06692
2923.95958,0.06676
2922.99521,0.0666
2922.03084,0.0665
2921.06648,0.06646
2920.10211,0.06639
2919.13774,0.06618
2918.17338,0.0659
2917.20901,0.06572
2916.24464,0.06565
2915.28028,0.06552
2914.31591,0.06526
2913.35154,0.06499
2912.38718,0.06479
2911.42281,0.06464
2910.45844,0.06445
2909.49408,0.06419
2908.52971,0.06393
2907.56534,0.06373
2906.60098,0.06355
2905.63661,0.06339
2904.67224,0.06331
2903.70788,0.06325
2902.74351,0.063
2901.77914,0.06255
2900.81478,0.06233
2899.85041,0.06252
2898.88604,0.06281
2897.92168,0.0629
2896.95731,0.06282
2895.99294,0.06269
2895.02858,0.06261
2894.06421,0.06257
2893.09984,0.06257
2892.13548,0.06261
2891.17111,0.06269
2890.20674,0.06274
2889.24238,0.0627
2888.27801,0.06261
2887.31364,0.06252
2886.34928,0.06241
2885.38491,0.06225
2884.42054,0.06218
2883.45618,0.06231
2882.49181,0.06249
2881.52745,0.0626
2880.56308,0.06269
2879.59871,0.0628
2878.63435,0.06286
2877.66998,0.06289
2876.70561,0.06295
2875.74125,0.06303
2874.77688,0.06305
2873.81251,0.06301
2872.84815,0.06299
2871.88378,0.06304
2870.91941,0.06314
2869.95505,0.06321
2868.99068,0.0632
2868.02631,0.0632
2867.06195,0.0633
2866.09758,0.06345
2865.13321,0.06356
2864.16885,0.06367
2863.20448,0.06382
2862.24011,0.06395
2861.27575,0.06398
2860.31138,0.06399
2859.34701,0.06409
2858.38265,0.06427
2857.41828,0.0644
2856.45391,0.06441
2855.48955,0.06441
2854.52518,0.06451
2853.56081,0.06471
2852.59645,0.06488
2851.63208,0.06498
2850.66771,0.0651
2849.70335,0.06523
2848.73898,0.0653
2847.77461,0.06526
2846.81025,0.06519
2845.84588,0.06517
2844.88151,0.06524
2843.91715,0.0654
2842.95278,0.06554
2841.98841,0.06558
2841.02405,0.06548
2840.05968,0.06528
2839.09531,0.06517
2838.13095,0.06526
2837.16658,0.06537
2836.20221,0.06532
2835.23785,0.06522
2834.27348,0.06521
2833.30911,0.06523
2832.34475,0.06524
2831.38038,0.06527
2830.41601,0.06528
2829.45165,0.06525
2828.48728,0.06521
2827.52291,0.06518
2826.55855,0.06514
2825.59418,0.06507
2824.62981,0.06501
2823.66545,0.06502
2822.70108,0.06507
2821.73671,0.06512
2820.77235,0.06514
2819.80798,0.06513
2818.84362,0.06504
2817.87925,0.06486
2816.91488,0.06471
2815.95052,0.06464
2814.98615,0.06462
2814.02178,0.06461
2813.05742,0.06456
2812.09305,0.06442
2811.12868,0.06426
2810.16432,0.06421
2809.19995,0.06432
2808.23558,0.06448
2807.27122,0.06452
2806.30685,0.0644
2805.34248,0.06425
2804.37812,0.06418
2803.41375,0.06414
2802.44938,0.06404
2801.48502,0.06393
2800.52065,0.06387
2799.55628,0.0638
2798.59192,0.06371
2797.62755,0.06363
2796.66318,0.06358
2795.69882,0.06354
2794.73445,0.06345
2793.77008,0.0633
2792.80572,0.0632
2791.84135,0.06319
2790.87698,0.06321
2789.91262,0.06318
2788.94825,0.06309
2787.98388,0.06297
2787.01952,0.06292
2786.05515,0.06298
2785.09078,0.06308
2784.12642,0.06306
2783.16205,0.06289
2782.19768,0.06267
2781.23332,0.06252
2780.26895,0.06247
2779.30458,0.06247
2778.34022,0.06243
2777.37585,0.06225
2776.41148,0.06196
2775.44712,0.06169
2774.48275,0.06159
2773.51838,0.06162
